# depth[mm]	eDep/nEvents(50MeV)[MeV]	eDep/nEvents(75MeV)[MeV]	eDep/nEvents(100MeV)[MeV]	eDep/nEvents(125MeV)[MeV]	eDep/nEvents(150MeV)[MeV]	eDep/nEvents(175MeV)[MeV]	eDep/nEvents(200MeV)[MeV]
208	0	0	1.17E-06	9.70E-06	4.28E-05	1.16451	0.720165
209	0	0	1.65E-06	1.61E-06	3.94E-05	0.667271	0.725258
210	0	0	2.48E-06	1.85E-06	4.70E-05	0.314113	0.728256
211	0	0	1.82E-06	3.16E-06	5.47E-05	0.12158	0.731636
212	0	0	1.39E-06	7.77E-05	0.000105315	0.0390941	0.736722
213	0	0	2.10E-06	9.03E-06	3.67E-05	0.00906472	0.742539
214	0	0	2.36E-06	3.47E-06	6.91E-05	0.00235085	0.746676
215	0	0	6.60E-06	1.72E-06	0.000196462	0.00128453	0.749545
216	0	0	7.92E-06	3.72E-07	0.000259638	0.000609297	0.756763
217	0	7.44E-07	4.62E-06	1.18E-05	2.99E-05	0.000562294	0.76056
218	0	0	0	5.20E-05	0.000196372	0.000684702	0.76658
219	0	0	0	0	0.000148634	0.00058412	0.773252
220	0	0	0	1.68E-06	0.000204684	0.000417763	0.779151
221	0	0	0	3.66E-06	0.000157642	0.000464271	0.787815
222	0	0	2.04E-06	3.12E-06	0.000137765	0.000490097	0.792296
223	0	0	0	5.53E-06	0.000215202	0.000410017	0.796629
224	0	0	2.46E-06	4.42E-06	0.000223952	0.000237177	0.808074
225	0	0	0	5.72E-06	0.00015743	0.000171125	0.813326
226	0	0	0	1.11E-05	0.000302724	0.000164159	0.825363
227	0	0	0	7.16E-06	0.0003191	7.41E-05	0.82988
228	0	0	0	1.02E-05	0.000416013	0.000145002	0.838227
229	0	0	0	1.33E-05	0.000123649	8.31E-05	0.851226
230	0	0	0	4.19E-06	0.000103994	0.000201327	0.859916
231	0	0	0	0	6.95E-05	8.09E-05	0.870339
232	0	0	0	1.63E-07	1.63E-05	4.78E-05	0.882492
233	0	0	6.54E-05	1.32E-06	1.64E-05	4.18E-05	0.89138
234	0	0	0	1.42E-05	1.61E-05	0.000150309	0.907282
235	0	0	0	1.71E-06	4.68E-05	0.000203151	0.918702
236	0	0	0	1.69E-06	6.43E-05	0.000444931	0.932252
237	0	0	0	2.61E-06	0.000144828	0.000173065	0.944636
238	0	0	0	2.99E-06	0.000120021	0.000135935	0.960777
239	0	0	0	4.00E-06	2.55E-05	0.000123616	0.979374
240	0	0	0	1.83E-05	4.26E-05	0.000250255	0.998444
241	0	0	1.71E-09	2.24E-05	9.89E-05	0.000258098	1.0204
242	0	0	1.53E-05	3.14E-06	0.000117823	0.000270284	1.04347
243	0	0	7.08E-05	2.92E-06	0.000191873	0.00019698	1.068
244	0	0	2.67E-09	3.69E-06	4.10E-05	8.34E-05	1.09268
245	1.30E-06	0	0	3.18E-06	3.92E-05	0.000158676	1.12176
246	0	0	2.36E-07	4.64E-06	7.94E-05	4.56E-05	1.15609
247	0	0	0	5.13E-06	6.39E-05	0.000168852	1.1923
248	0	0	0	3.92E-05	0.000112629	7.97E-05	1.23554
249	0	1.25E-06	0	3.83E-05	7.96E-05	9.44E-05	1.28439
250	0	1.99E-06	0	3.98E-05	0.000139376	0.000152167	1.34292
251	0	2.42E-06	0	5.20E-05	5.07E-05	0.00018897	1.41281
252	0	1.76E-06	0	7.37E-05	5.44E-05	0.000242017	1.497
253	0	4.06E-06	0	8.70E-05	0.000208732	0.000282302	1.60004
254	0	5.68E-06	1.83E-06	1.51E-05	0.000120465	0.000211357	1.72661
255	0	3.71E-06	3.92E-06	4.41E-06	9.64E-05	0.000199954	1.85598
256	0	4.07E-06	1.77E-06	1.89E-05	3.79E-05	0.000178641	1.97437
257	0	3.98E-06	1.74E-06	2.65E-06	1.26E-05	8.67E-05	2.05937
258	0	0	4.03E-06	1.73E-06	2.55E-05	0.00012138	2.04457
259	0	0	3.34E-06	3.09E-06	2.45E-06	0.00017243	1.91651
260	0	0	0	1.58E-06	3.87E-06	0.000224023	1.6696
261	0	6.65E-07	0	6.62E-05	1.76E-06	0.000463056	1.32537
262	4.69E-07	0	0	1.16E-05	0.000118436	0.00016452	0.949428
263	1.53E-06	0	0	1.96E-06	1.11E-05	0.000185738	0.602143
264	1.64E-06	0	0	0	5.70E-06	0.000145206	0.345106
265	1.54E-06	0	0	0	4.65E-05	0.000160599	0.166639
266	2.07E-06	0	0	0	3.18E-05	0.000225911	0.0721331
267	1.74E-06	0	2.85E-07	0	7.49E-06	0.000162268	0.0270572
268	2.22E-06	0	0	0	2.29E-05	7.98E-05	0.00867747
269	4.13E-06	0	0	0	4.62E-06	0.000153408	0.00289763
270	4.77E-06	0	0	0	1.40E-05	4.59E-05	0.000515245
271	7.58E-06	0	1.43E-05	1.91E-05	1.59E-05	2.73E-05	0.000262306
272	4.62E-06	2.93E-07	4.63E-05	0	2.57E-05	4.80E-05	0.000482697
273	4.64E-06	1.69E-06	7.89E-05	1.43E-06	1.54E-06	8.01E-05	0.00027923
274	4.21E-06	0	0	3.28E-06	2.48E-08	0.000190509	4.64E-05
275	2.54E-06	0	0	2.30E-06	6.61E-06	0.000184175	0.000242501
276	0	0	0	4.50E-06	8.91E-08	6.98E-05	0.000198888
277	0	0	0	0	0	0.000156673	0.000302522
278	0	0	0	1.82E-06	7.09E-05	8.27E-05	0.000114448
279	0	0	0	2.33E-06	8.78E-08	4.52E-05	0.000138573
280	0	0	0	2.43E-06	1.37E-06	0.000267513	0.000154299
281	0	0	0	2.64E-06	3.98E-06	5.44E-05	0.000426496
282	0	0	0	3.35E-06	7.94E-07	4.68E-05	0.000230717
283	0	0	0	4.26E-06	2.93E-05	0.000121277	0.000251021
284	0	0	0	1.21E-06	1.43E-05	9.59E-05	0.00025717
285	0	0	0	0	7.93E-05	0.000117487	0.000151786
286	0	0	0	0	7.20E-05	6.71E-05	0.000144534
287	0	0	0	0	4.24E-05	0.00010275	0.000129321
288	0	0	0	0	5.08E-06	3.08E-05	0.000165365
289	0	0	0	0	5.12E-06	6.38E-05	0.000157886
290	0	0	0	0	5.13E-06	9.80E-05	0.000143524
291	0	0	0	0	7.52E-07	0.000112969	0.000143344
292	0	4.00E-06	0	4.20E-05	0.000183278	0.000210147	9.72E-05
293	0	0	0	3.22E-05	0	3.55E-05	0.000212254
294	0	2.22E-06	0	3.60E-05	9.25E-05	3.66E-05	0.000136453
295	0	1.72E-06	0	4.36E-05	1.43E-07	0.000115456	0.00012749
296	0	0	0	5.06E-05	3.82E-07	5.36E-05	0.000168825
297	0	0	0	7.48E-05	2.22E-06	2.91E-05	0.000120544
298	0	0	0	6.75E-05	1.48E-06	0.000313405	9.19E-05
299	0	0	0	1.53E-05	2.37E-06	2.88E-05	0.000304925
